es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Cacahuete tostado salado,Peanut toasted salted,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2498.2,kJ,9.5,g,0,mg
Piñon,Pine nut,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2844.2,kJ,0,mg,9.88,g
Piñón crudo con cáscara,Pine nut raw in shell,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2842.5,kJ,4.6,g,0,mg
Judía pinta,Pinto bean,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1028.44,kJ,0.12,g,0,mg
Alubia negra seca remojada hervida,Pinto bean dried steeped boiled,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,383.562,kJ,0,mg,NaN,g
Pistacho,Pistachio nut,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2475.3,kJ,0,mg,6.21,g
Pipa de calabaza,Pumpkin seeds,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2510.83,kJ,0,mg,8.84,g
Sésamo semilla,Sesame seed,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2343,kJ,7,g,0,mg
Harina de soja,Soy flour,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1715.35,kJ,2.9,g,0,mg
Soja frita,Soya fried,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,585.6,kJ,NaN,g,0,mg
Soja seca cruda,Soybean dry raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1464.38,kJ,2.3,g,0,mg
Soja seca remojada hervida,Soybean dry soaked boiled,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,570.274,kJ,0.9,g,0,mg
Soja fresca,Soybean fresh,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,661.3,kJ,0.79,g,0,mg
Pipa de girasol,Sunflower seeds,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2390,kJ,5.63,g,0,mg
Pipas de girasol peladas con sal,Sunflower seeds peeled with salt,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2612.45,kJ,5.953,g,0,mg
Chufa cruda,Tigger nut raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1705.77,kJ,4.01689,g,0,mg
Tofu,Tofu,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,496.725,kJ,0.8,g,NaN,mg
Nuez,Walnut,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2477.1,kJ,0,mg,7.42,g
Nuez cruda con cáscara,Walnut raw in shell,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2477.1,kJ,6.43,g,0,mg
Judía blanca,White bean,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1007.8,kJ,0.53,g,0,mg
Judías blancas cocidas,White bean boiled,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1350.9,kJ,0.21,g,0,mg
Alubia blanca en conserva,White bean canned,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,389.587,kJ,0.07,g,0,mg
Alubia blanca seca cruda,White bean dried raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1135.32,kJ,0,mg,0.278796,g
