es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Queso de murcia al vino,Cheese "murcia with wine" type,,Lácteos y derivados,Milk and milk products,,1832.45,kJ,100,mg
Queso pasiego,Cheese "pasiego" type,,Lácteos y derivados,Milk and milk products,,1232.09,kJ,100,mg
Queso pedroches,Cheese "pedroches" type,,Lácteos y derivados,Milk and milk products,,1411.08,kJ,90,mg
Queso peñamellera,Cheese "peñamellera" type,,Lácteos y derivados,Milk and milk products,,1519.48,kJ
Queso picón,Cheese "picón" type,,Lácteos y derivados,Milk and milk products,,1607.07,kJ,90,mg
Queso porrúa,Cheese "porrúa" type,,Lácteos y derivados,Milk and milk products,,1588.43,kJ,90,mg
Queso San Simón,Cheese "san simón" type,,Lácteos y derivados,Milk and milk products,,1846.11,kJ,20.58,g,90,mg
Queso serrat,Cheese "serrat" type,,Lácteos y derivados,Milk and milk products,,1711.52,kJ,90,mg
Queso servilleta,Cheese "servilleta" type,,Lácteos y derivados,Milk and milk products,,1350.36,kJ,90,mg
Queso de tenerife,Cheese "tenerife" type,,Lácteos y derivados,Milk and milk products,,1426.63,kJ,100,mg
Queso Tetilla,Cheese "tetilla" type,,Lácteos y derivados,Milk and milk products,,1558.57,kJ,21.45,g,90,mg
Queso de tiétar,Cheese "tiétar" type,,Lácteos y derivados,Milk and milk products,,1660.16,kJ,100,mg
Queso torta del casar,Cheese "torta del casar" type,,Lácteos y derivados,Milk and milk products,,1508.31,kJ,21.8,g,90,mg
Queso tupí,Cheese "tupí" type,,Lácteos y derivados,Milk and milk products,,2539.37,kJ,90,mg
Queso Zamorano,Cheese "zamorano" type,,Lácteos y derivados,Milk and milk products,,2016.29,kJ,25.85,g,90,mg
Queso edam,Cheese edam type,,Lácteos y derivados,Milk and milk products,,1399,kJ,17.3,g,80,mg
Queso para untar,Chesee spread,,Lácteos y derivados,Milk and milk products,,1503.61,kJ,19.6,g,94.1,mg
Helado de chocolate,Chocolate ice cream,,Lácteos y derivados,Milk and milk products,,951,kJ,6.8,g,34,mg
Mousse de chocolate,Chocolate mousse,,Lácteos y derivados,Milk and milk products,,1029,kJ,4.79,g,35,mg
Leche de coco,Coconut milk,,Lácteos y derivados,Milk and milk products,,869.7,kJ,18.3,g,0,mg
Requesón,Cottage cheese,,Lácteos y derivados,Milk and milk products,,424.47,kJ,2.045,g,13,mg
Helado de nata,Cream ice cream,,Lácteos y derivados,Milk and milk products,,880.7,kJ,7.3,g,30,mg
Nata líquida para cocinar 18% de grasa,Cream 18 % fat uht,,Lácteos y derivados,Milk and milk products,,840.078,kJ,12.7,g,70,mg
Cuajada,Curdled milk,,Lácteos y derivados,Milk and milk products,,362.6,kJ,2.9,g,6.6,mg
Queso curado genérico,Cured cheese,,Lácteos y derivados,Milk and milk products,,1874.76,kJ,21.3,g,74.4,mg
Natillas sabor vainilla,Custard vainilla flavored,,Lácteos y derivados,Milk and milk products,,433.36,kJ,1.89,g,10,mg
Preparado lácteo con omega 3,Dairy product with omega 3,,Lácteos y derivados,Milk and milk products,,220.05,kJ,0.23,g,NaN,mg
Yogur líquido aromatizado sabor s/e,Drinking yogurt flavoured n/e,,Lácteos y derivados,Milk and milk products,,317.799,kJ,0.9,g,NaN,mg
Yogur líquido natural azucarado,Drinking yogurt plain sweetened,,Lácteos y derivados,Milk and milk products,,291.269,kJ,0.8,g,NaN,mg
Yogur líquido desnatado natural,Drinking yogurt skimmed plain,,Lácteos y derivados,Milk and milk products,,271.2,kJ,0.8,mg,NaN,g
Yogur líquido entero sabor frutas del bosque,Drinking yogurt whole milk fruits of the forest flavoured,,Lácteos y derivados,Milk and milk products,,482.8,kJ,2.1,g,11,mg
Yogur líquido entero sabor piña y coco,Drinking yogurt whole milk pineapple and coconut flavoured,,Lácteos y derivados,Milk and milk products,,482.8,kJ,2.1,g,11,mg
Yogur líquido entero sabor fresa y plátano,Drinking yogurt whole milk strawberry and banana flavoured,,Lácteos y derivados,Milk and milk products,,482.8,kJ,2.1,g,11,mg
Yogur líquido entero sabor fresa,Drinking yogurt whole milk strawberry flavoured,,Lácteos y derivados,Milk and milk products,,482.8,kJ,2.1,g,11,mg
Yogur líquido entero con frutas,Drinking yogurt whole milk with fruits,,Lácteos y derivados,Milk and milk products,,376.8,kJ,2.1,g,13,mg
Yogur líquido entero con fresas,Drinking yogurt whole milk with strawberry,,Lácteos y derivados,Milk and milk products,,378.2,kJ,2,g,12,mg
Flan de huevo,Egg custard,,Lácteos y derivados,Milk and milk products,,554.2,kJ,2.03,g,147,mg
Queso emmental,Emmental cheese,,Lácteos y derivados,Milk and milk products,,1529.7,kJ,17.3,g,110,mg
Leche fermentada bifidobacterium entera natural,Fermented milk plain,,Lácteos y derivados,Milk and milk products,,261.8,kJ,2.2,g,3,mg
Queso tierno genérico,Fresh cheese,,Lácteos y derivados,Milk and milk products,,1381.8,kJ,13.68,g,70,mg
Queso cabra curado,Goat cheese cured,,Lácteos y derivados,Milk and milk products,,1934.4,kJ,25.4,g,100,mg
Queso fresco cabra,Goat cheese uncured,,Lácteos y derivados,Milk and milk products,,1240.83,kJ,15.3569,g,60.7,mg
Leche de cabra,Goat's milk,,Lácteos y derivados,Milk and milk products,,269.637,kJ,2.5,g,11,mg
Queso Gouda,Gouda cheese,,Lácteos y derivados,Milk and milk products,,1359.92,kJ,17.7,g,110,mg
Queso rallado genérico,Grated cheese,,Lácteos y derivados,Milk and milk products,,1645.34,kJ,17.12,g,120,mg
Queso Gruyer,Gruyere cheese,,Lácteos y derivados,Milk and milk products,,1562.36,kJ,18.8,g,120,mg
Leche materna,human milk,,Lácteos y derivados,Milk and milk products,,287.66,kJ,2.031,g,16,mg
Kefir,Kefir,,Lácteos y derivados,Milk and milk products,,267.2,kJ,2.3,g,14,mg
Lactosa,Lactose,,Lácteos y derivados,Milk and milk products,
Queso de Castilla-La Mancha oveja y cabra,Lamb and goat cheese "castilla-la mancha" type,,Lácteos y derivados,Milk and milk products,,1693.48,kJ,24.12,g,90,mg
Queso de Castilla-La Mancha oveja vaca y cabra,Lamb cow and goat cheese "castilla-la mancha" type,,Lácteos y derivados,Milk and milk products,,1720.93,kJ,23.32,g,90,mg
Yogur líquido entero con cereales,Liquid yogurt whole milk with cereals,,Lácteos y derivados,Milk and milk products,,476.9,kJ,0.9,g,NaN,mg
Batido lácteo de cacao bajo en calorías,Milk shake cacao light,,Lácteos y derivados,Milk and milk products,,201.2,kJ,0.3,g,0,mg
Batido de chocolate,Milk shake chocolate,,Lácteos y derivados,Milk and milk products,,345.7,kJ,2.3,g,13,mg
Batido de fresa,Milk shake strawberry,,Lácteos y derivados,Milk and milk products,,275,kJ,0.62,g,12,mg
Batido lácteo de fresa bajo en calorías,Milk shake strawberry light,,Lácteos y derivados,Milk and milk products,,466.48,kJ,0.3,g,3.4,mg
Leche en polvo semidesnatada,Milk semi-skimmed dried,,Lácteos y derivados,Milk and milk products,,1855.86,kJ,9.7,g,60,mg
Leche semidesnatada pasteurizada,Milk semi-skimmed pasteurized,,Lácteos y derivados,Milk and milk products,,191.8,kJ,5,mg,0.95,g
Leche de vaca desnatada condensada con azúcar,Milk skimmed condensed with sugar,,Lácteos y derivados,Milk and milk products,,1197.44,kJ,0.1,g,1,mg
Leche desnatada pasteurizada,Milk skimmed pasteurized,,Lácteos y derivados,Milk and milk products,,141.7,kJ,2,mg,NaN,g
Leche merengada,Milk whipped,,Lácteos y derivados,Milk and milk products,,351.3,kJ,22.1,g,14,mg
Leche condensada entera con azúcar,Milk whole condensed with sugar,,Lácteos y derivados,Milk and milk products,,1398.8,kJ,6.0907,g,30,mg
Mousse de queso fresco desnatado con frutas,Mousse cottage cheese skimmed with fruit,,Lácteos y derivados,Milk and milk products,,488.2,kJ,0.619,g,3,mg
Mousse de queso fresco desnatado azucarado,Mousse cottage cheese skimmed with sugar,,Lácteos y derivados,Milk and milk products,,441.9,kJ,0.3,g,7.1,mg
Mousse de queso fresco con frutas,Mousse cottage cheese with fruits,,Lácteos y derivados,Milk and milk products,,563.6,kJ,2.311,g,13,mg
Queso mozzarella,Mozzarella cheese,,Lácteos y derivados,Milk and milk products,,927.2,kJ,8.67,g,78,mg
Queso munster,Muenster-type cheese,,Lácteos y derivados,Milk and milk products,,1386.93,kJ,18.2,g,90,mg
Queso parmesano,Parmesan cheese,,Lácteos y derivados,Milk and milk products,,1529.6,kJ,16.7,g,80,mg
Petit líquido sabor fresa,Petit type cheese liquid strawberry flavour,,Lácteos y derivados,Milk and milk products,,331.1,kJ,0.6,g,2.5,mg
Petit suisse chocolate,Petit-suisse type cheese chocolate flavour,,Lácteos y derivados,Milk and milk products,,729.8,kJ,2.54,g,11,mg
Petit Suisse natural azucarado,Petit-suisse type cheese plain with sugar,,Lácteos y derivados,Milk and milk products,,507.651,kJ,2.54,g,11.3,mg
Petit suisse fresa,Petit-suisse type cheese strawberry flavour,,Lácteos y derivados,Milk and milk products,,532.4,kJ,2.54,g,11,mg
Petit suïsse cereales y fruta,Petit-suisse type cheese with cereal and fruit,,Lácteos y derivados,Milk and milk products,,691.5,kJ,2.27,g,10,mg
Queso fundido extragraso (>60% MG/ES),Processed cheese >60 % fidm,,Lácteos y derivados,Milk and milk products,,1353.3,kJ,19.45,g,100,mg
Queso en porciones,Processed cheese portions,,Lácteos y derivados,Milk and milk products,,1292,kJ,14.24,g,94,mg
Queso Raclette,Raclette cheese,,Lácteos y derivados,Milk and milk products,,1484.51,kJ,17.4,g,90,mg
Arroz con leche,Rice with milk,,Lácteos y derivados,Milk and milk products,,383,kJ,0.77,g,9,mg
Queso roquefort,Roquefort cheese,,Lácteos y derivados,Milk and milk products,,1475.4,kJ,20.6,g,100,mg
Queso semicurado genérico,Semi-cured cheese,,Lácteos y derivados,Milk and milk products,,1626.3,kJ,18.9,g,87.8,mg
Queso de castilla-león oveja y vaca,Sheep and cow cheese "castilla-león" type,,Lácteos y derivados,Milk and milk products,,1708.37,kJ,23.29,g,90,mg
Leche de oveja,Sheep's milk,,Lácteos y derivados,Milk and milk products,,415.121,kJ,4.1,g,11,mg
Queso fresco de burgos,Soft cheese "burgos" type,,Lácteos y derivados,Milk and milk products,,823.1,kJ,9.46,g,14.5,mg
Batido fermentado de soja,Soy yogurt,,Lácteos y derivados,Milk and milk products,,373.63,kJ,0,g,0,mg
Bebida de soja,Soya drink,,Lácteos y derivados,Milk and milk products,,220.4,kJ,0.206,g,0,mg
Batido de soja,Soya shake,,Lácteos y derivados,Milk and milk products,,343.7,kJ,0.6,g,0,mg
Yogur griego,Strained yogurt,,Lácteos y derivados,Milk and milk products,,578,kJ,6.8,g,11,mg
Helado de fresa,Strawberry ice cream,,Lácteos y derivados,Milk and milk products,,834.4,kJ,5.19,g,29,mg
Queso fresco desnatado con frutas,Uncured cheese skimmed with fruit,,Lácteos y derivados,Milk and milk products,,401.5,kJ,0,mg,NaN,g
Leche de vaca entera,Whole milk,,Lácteos y derivados,Milk and milk products,,272.52,kJ,2.3,g,14,mg
Yogur líquido "tipo actimel",Yoghurt liquid "type actimel",,Lácteos y derivados,Milk and milk products,,261.8,kJ,2.2,g,3,mg
Yogur desnatado aromatizado sabor s/e,Yogurt  skimmed flavoured n/e,,Lácteos y derivados,Milk and milk products,,268.3,kJ,1,g,6,mg
Mousse de yogur natural,Yogurt mousse plain,,Lácteos y derivados,Milk and milk products,,691.2,kJ
Mousse de yogur con frutas,Yogurt mousse with fruits,,Lácteos y derivados,Milk and milk products,,604.9,kJ
Yogur búlgaro,Yogurt bulgarian-style,,Lácteos y derivados,Milk and milk products,,309.4,kJ,2.2,g,11,mg
Yogur enriquecido natural,Yogurt enriched plain,,Lácteos y derivados,Milk and milk products,,265,kJ,2.2,g,11.2,mg
Yogur enriquecido natural azucarado,Yogurt enriched plain sweetened,,Lácteos y derivados,Milk and milk products,,415.4,kJ,1.9,g,11.2,mg
Yogur enriquecido natural con nata,Yogurt enriched plain with cream,,Lácteos y derivados,Milk and milk products,,276.6,kJ,2.2,g,11.2,mg
Yogur enriquecido sabor s/e,Yogurt enriched unspecified flavour,,Lácteos y derivados,Milk and milk products,,825.1,kJ,2.3,g,20,mg
Yogur enriquecido con frutas,Yogurt enriched with fruits,,Lácteos y derivados,Milk and milk products,,508.5,kJ,1.9,g,11.2,mg
Yogur líquido con frutas s/e,Yogurt liquid whole milk with fruits,,Lácteos y derivados,Milk and milk products,,364.7,kJ,1,g,NaN,mg
Yogur desnatado sabor natural,Yogurt skimmed plain flavour,,Lácteos y derivados,Milk and milk products,,192.04,kJ,0.11,g,1,mg
Yogur desnatado sabor natural azucarado,Yogurt skimmed plain flavour sweetened,,Lácteos y derivados,Milk and milk products,,322.2,kJ,0.11,g,1,mg
Yogur desnatado sabor vainilla,Yogurt skimmed vanilla flavour,,Lácteos y derivados,Milk and milk products,,447.4,kJ,0.73,g,5.9,mg
Yogur desnatado con manzana,Yogurt skimmed with apple,,Lácteos y derivados,Milk and milk products,,168.387,kJ,0.063,g,0.3,mg
Yogur desnatado con cereales,Yogurt skimmed with cereals,,Lácteos y derivados,Milk and milk products,,214.5,kJ,1.6,mg,NaN,g
Yogur desnatado con cereales manzana y ciruela,Yogurt skimmed with cereals apple and plum,,Lácteos y derivados,Milk and milk products,,294.7,kJ,0.1,g,0.3,mg
Yogur desnatado con cereza y frambuesa,Yogurt skimmed with cherry and raspberry,,Lácteos y derivados,Milk and milk products,,168.387,kJ,0.063,g,0.3,mg
Yogur desnatado con frutas,Yogurt skimmed with fruits,,Lácteos y derivados,Milk and milk products,,295.221,kJ,0.1,g,0.3,mg
Yogur desnatado con frutas del bosque,Yogurt skimmed with fruits of the forest,,Lácteos y derivados,Milk and milk products,,168.387,kJ,0.063,g,0.3,mg
Yogur desnatado con melocotón y maracuyá,Yogurt skimmed with peach and yellow passion fruit,,Lácteos y derivados,Milk and milk products,,168.387,kJ,0.063,g,0.3,mg
Yogur desnatado con melocotón frambuesa y fibra,Yogurt skimmed with peach raspberry and fiber,,Lácteos y derivados,Milk and milk products,,241.7,kJ,1.2,mg,NaN,g
Yogur desnatado con piña y pomelo,Yogurt skimmed with pineapple and grapefruit,,Lácteos y derivados,Milk and milk products,,168.387,kJ,0.063,g,0.3,mg
Yogur desnatado con ciruela albaricoque y fibra,Yogurt skimmed with plum apricot and fiber,,Lácteos y derivados,Milk and milk products,,241.7,kJ,1.2,mg,NaN,g
Yogur desnatado con fresa grosella y fibra,Yogurt skimmed with strawberry redcurrant and fiber,,Lácteos y derivados,Milk and milk products,,241.7,kJ,1.2,mg,NaN,g
Yogur desnatado con frutas tropicales,Yogurt skimmed with tropical fruits,,Lácteos y derivados,Milk and milk products,,168.387,kJ,0.063,g,0.3,mg
Yogur entero con cereales y fresas,Yogurt whole milk with cereals and strawberry,,Lácteos y derivados,Milk and milk products,,382.2,kJ,2.1,g,13,mg
Yogur entero con frutas del bosque,Yogurt whole milk with fruits of the forest,,Lácteos y derivados,Milk and milk products,,376.8,kJ,2.1,g,13,mg
Yogur entero con fresas,Yogurt whole milk with strawberry,,Lácteos y derivados,Milk and milk products,,502.2,kJ,1.6,g,6.6,mg
